"시군구코드","연도","시군구명","대졸인구비율","대졸인구비율등급","여성종사자비율","여성종사자비율등급","20세미만인구성장률","20세미만인구성장률등급","투표율","투표율등급","재정자립도","재정자립도등급","경제활동인구대비종사자수","경제활동인구대비종사자수등급","1인당지역내총생산","1인당지역내총생산등급","특허출원건수","특허출원건수등급","1인당주민세","1인당주민세등급","1인당공원면적","1인당공원면적등급","도로밀도","도로밀도등급","1만인당공무원수","1만인당공무원수등급","건축허가면적증감률","건축허가면적증감률등급","주민등록인구전출입률","주민등록인구전출입률등급","폐기물재활용률","폐기물재활용률등급","1만인당사회복지시설수","1만인당사회복지시설수등급","1만인당문화체육시설수","1만인당문화체육시설수등급","1만인당축제건수","1만인당축제건수등급","비영리단체수","비영리단체수등급"
"43150","2017",충청북도 제천시,,,41.96,5,-3.33,10,,,22.46,5,0.66,5,22894.41,4,122,1,21.21,4,7.54,2,0.62,1,57.74,5,-25.38,10,0.18,7,91.37,6,28.5,5,18.14,5,0.22,4,29,4
"43730","2017",충청북도 옥천군,,,39.36,5,-4.92,10,,,18.6,5,0.26,1,26490.73,5,121,1,22.84,4,14.26,4,1.01,1,95.11,6,-13.31,10,-0.27,10,88.81,6,66.13,6,66.13,7,0.82,7,16,1
"43760","2017",충청북도 괴산군,,,37.55,5,-4.43,10,,,14.15,4,0.41,3,34823.37,5,52,1,23.68,5,20.73,5,0.6,1,122.9,6,20.87,7,1.23,7,88.79,6,94.7,7,11.44,4,0.8,6,10,1
"44130","2017",충청남도 천안시,,,39.75,5,-0.64,10,,,46.09,6,7.9,7,41183.91,6,2809,7,41.97,6,10.11,3,3.12,5,31.19,3,-5.83,1,1.72,7,76.66,6,13.37,2,14.54,4,0.13,1,123,7
"45730","2017",전라북도 무주군,,,38.45,5,-2.47,10,,,18.05,4,0.02,1,25241.2,5,9,1,21.28,4,23.28,6,0.63,1,169.78,7,3.69,3,0.22,7,68.73,5,123.08,7,53.25,7,1.31,7,19,2
"46130","2017",전라남도 여수시,,,35.77,5,-3.94,10,,,36.13,6,0.88,5,91189.36,7,255,2,49.75,6,24.34,6,2.97,4,48.7,4,-44.25,10,-0.9,10,67.17,5,24.37,4,29.84,6,0.22,4,74,6
"46790","2017",전라남도 화순군,,,45.22,6,-5.81,10,,,21.67,5,0.07,1,24552.91,4,116,1,27.29,5,29.49,6,0.64,1,81.45,6,159.63,7,-0.49,10,34.82,3,79.94,7,30.96,6,1.01,7,20,2
"46800","2017",전라남도 장흥군,,,47.13,6,-4.34,10,,,13.09,3,0.04,1,22968.03,4,26,1,11.43,1,29.13,6,0.84,1,113.69,6,-12.53,10,-0.49,10,65.36,5,119.3,7,31.16,6,1.68,7,14,1
"46870","2017",전라남도 영광군,,,38.26,5,-4.93,10,,,17.36,4,0.2,1,41200.09,6,46,1,38.98,6,25.02,6,1.2,1,95.15,6,36.3,7,-1.1,10,39.76,4,84.46,7,54.05,7,1.03,7,19,2
"47110","2017",경상북도 포항시,,,37.84,5,-3.81,10,,,37.1,6,10.5,7,35541.36,5,2616,7,43.56,6,27.31,6,2.03,3,42.97,4,17.98,7,-0.72,10,78.21,6,13.72,2,18.26,5,0.16,2,154,7
"27140","2018",대구광역시 동구,,,45.26,6,-2.66,10,,,19.87,5,0.38,5,20031.02,4,544,5,22.64,4,6.19,1,2.11,3,27.97,2,30.28,6,0.56,8,,0,8.79,1,12.44,4,0.06,1,54,5
"27710","2018",대구광역시 달성군,,,34.16,5,3.18,10,,,41.18,6,0.48,5,30292.9,5,772,6,41.98,6,23.03,6,1.37,1,36.71,3,29.39,6,2.2,8,,0,15.14,2,16.21,5,0.08,1,18,1
"28260","2018",인천광역시 서구,,,39.27,5,1.12,10,,,40.39,6,0.43,5,35184.98,5,1189,6,30.46,5,7.11,2,6.17,6,15.18,1,120.94,7,3.8,8,48.76,4,10.98,1,16.03,5,0.04,1,65,6
"29110","2018",광주광역시 동구,,,53.07,6,-2.11,10,,,14.3,4,0.8,6,39469.71,6,302,3,48.4,6,3.4,1,2.24,3,52.12,4,-68.01,10,-0.75,10,91.01,6,15.87,3,29.08,6,0.1,1,161,7
"31170","2018",울산광역시 동구,,,26.68,4,-5.07,10,,,24.87,5,0.56,6,57146.91,6,466,4,94.64,7,27.5,6,3.67,5,25.95,1,109.3,7,-3.45,10,74.6,5,5.1,1,15,4,0.06,1,33,4
"36110","2018",세종특별자치시 세종시,,,43.39,6,12.52,8,,,69.21,7,0.37,5,35342.06,5,811,6,26.2,5,71.28,7,6.47,6,63.78,5,24.9,6,10.01,8,81.51,5,16.71,3,11.41,3,,0,27,3
"41430","2018",경기도 의왕시,,,36.98,5,-5.87,10,,,51.48,6,0.41,5,24841.31,4,656,5,38.92,6,15.36,5,6.86,6,41.24,4,1.38,1,-1.37,10,90.19,6,9.4,1,10.75,3,0.14,1,26,3
"41610","2018",경기도 광주시,,,36.09,5,3.44,10,,,48.45,6,0.46,5,26549.94,5,840,6,20.06,4,8.41,2,2.37,4,32.25,3,-12.17,1,4.51,8,89.67,6,9.78,1,16.99,5,0.09,1,45,5
"42780","2018",강원도 철원군,,,46,6,-4.71,10,,,12.14,3,0.28,4,38328.49,6,36,1,11.53,1,22.32,6,0.62,1,116.36,6,-43.17,10,-1.52,10,89.02,6,31.17,5,25.63,6,0.46,6,5,1
"43720","2018",충청북도 보은군,,,39.42,5,-4.48,10,,,9.97,2,0.46,5,34856.09,5,42,1,30.56,5,34.17,6,0.79,1,140.34,6,35.19,6,-0.23,10,90.6,6,93.56,7,60.28,7,1.26,7,22,2
"43740","2018",충청북도 영동군,,,40.32,5,-5.32,10,,,15.62,4,0.33,4,20992.7,4,39,1,17.11,3,14.94,5,0.61,1,103.62,6,24.56,6,-0.46,10,89.69,6,80.55,7,18.25,5,0.84,6,18,1
"44200","2018",충청남도 아산시,,,32.96,5,-1.98,10,,,48.62,6,0.68,6,96600.26,7,1193,6,98.72,7,17.49,5,1.74,2,40.57,4,-10.04,1,0.08,10,93.91,6,18.86,3,17.22,5,0.16,2,50,5
"44800","2018",충청남도 홍성군,,,44.78,6,-2.36,10,,,20.32,5,0.42,5,32353.99,5,94,1,18.47,4,29.7,6,0.9,1,79.8,5,38.27,6,-0.23,10,62.85,5,40.55,6,14.02,4,0.4,5,16,1
"45740","2018",전라북도 장수군,,,43.86,6,-5.63,10,,,14.37,4,0.32,4,23529.05,4,36,1,13.59,2,38.03,6,0.93,1,194.9,7,95.91,7,1.72,8,91.95,6,140.04,7,27.91,6,0.48,6,19,1
"45800","2018",전라북도 부안군,,,47.39,6,-6.15,10,,,15.8,4,0.43,5,26869.53,5,41,1,17.23,3,76.16,7,1.42,1,99.63,6,80.36,7,-2.17,10,96.42,6,99.84,7,28.9,6,0.81,6,23,2
"46800","2018",전라남도 장흥군,,,46.34,6,-4.61,10,,,12.07,3,0.45,5,25239.8,4,19,1,14.06,2,29.55,6,0.82,1,173.11,7,71.91,7,-1.26,10,,0,117.87,7,30.46,6,1.42,7,15,1
"47130","2018",경상북도 경주시,,,37.06,5,-2.83,10,,,29.9,6,0.58,6,39596.83,6,498,5,48.68,6,13.26,4,1.53,2,64.43,5,-30.91,10,-0.05,10,77.66,5,26.82,5,20.59,5,0.12,1,78,6
"47720","2018",경상북도 군위군,,,34.7,5,-7.67,10,,,13.29,3,0.47,5,34188.18,5,16,1,20.51,4,39.55,6,0.64,1,239.7,7,21.62,5,0.09,10,94.28,6,102,7,48.22,7,0.46,6,10,1
"48330","2018",경상남도 양산시,,,40.24,5,1,10,,,43.56,6,0.49,5,30768.73,5,531,5,37.18,6,17.42,5,3.4,5,28.68,2,-24.31,10,2.48,8,68.82,5,10.09,1,15.77,5,0.09,1,42,5
