"시군구코드","연도","시군구명","노령화지수(인구총조사)","노령화지수(인구총조사)등급","인구순이동률","인구순이동률등급","인구변화율(인구총조사)","인구변화율(인구총조사)등급","평균교육년수","평균교육년수등급","독거노인가구비율","독거노인가구비율등급","기초생활수급자(천인당)","기초생활수급자(천인당)등급","소년소녀가장(천인당)","소년소녀가장(천인당)등급","노령화지수(주민등록인구통계)","노령화지수(주민등록인구통계)등급","인구변화율(주민등록인구통계)","인구변화율(주민등록인구통계)등급","고령인구수(인구총조사)","고령인구수(인구총조사)등급","고령인구수(주민등록인구통계)","고령인구수(주민등록인구통계)등급","노년부양비(인구총조사)","노년부양비(인구총조사)등급","노년부양비(주민등록인구통계)","노년부양비(주민등록인구통계)등급","세입자가구비율","세입자가구비율등급","경제활동인구(인구총조사)","경제활동인구(인구총조사)등급","경제활동인구(주민등록인구통계)","경제활동인구(주민등록인구통계)등급","종사자수(천명당)","종사자수(천명당)등급","사업체당종사자수","사업체당종사자수등급","제조업종사자비율","제조업종사자비율등급","고차산업종사자비율","고차산업종사자비율등급","재정자립도","재정자립도등급","지방세액(1인당)","지방세액(1인당)등급","지가변동률(주거)","지가변동률(주거)등급","지가변동률(상업)","지가변동률(상업)등급","의료보험료","의료보험료등급","도소매업종사자수(천명당)","도소매업종사자수(천명당)등급","총사업체수증감율","총사업체수증감율등급","총종사자수증감율","총종사자수증감율등급","도소매업체증감율","도소매업체증감율등급","제조업체증감율","제조업체증감율등급","주요산업별종사자수","주요산업별종사자수등급","총사업체수","총사업체수등급","노후주택비율","노후주택비율등급","신규주택비율","신규주택비율등급","공가율","공가율등급","부동산공시지가","부동산공시지가등급","노후건축물비율","노후건축물비율등급","소형주택비율","소형주택비율등급","주거면적(1인당)","주거면적(1인당)등급","주택보급율","주택보급율등급","접도율","접도율등급"
"48110","2001",경상남도 창원시,,,-0.31,10,,,,,,,9.72,1,,,14.69,1,1.34,14,,,20665,6,,,5.7,2,,,,,362706,8,311.95,6,5.34,6,37.55,6,5.64,5,69.1,7,624.42,6,0.08,1,0.01,1,,,46.39,5,-1.46,10,-0.8,10,-6.22,10,8.01,6,127883,7,63741,7,,,,,,,,,,,,,,,,,,
"11215","2002",서울특별시 광진구,,,-1.1,10,,,,,,,8.93,1,,,27.23,3,-0.41,10,,,19425,6,,,6.57,3,,,,,295752,6,251.44,5,4.36,5,15.5,5,5.04,5,39,6,495.13,5,4.46,7,0,1,,,52.22,5,1.62,5,2.43,4,-0.82,10,11.06,7,20183,6,22299,6,,,,,,,,,,,,,,,,,,
"11470","2002",서울특별시 양천구,,,-0.39,10,,,,,,,11,1,,,25.43,2,0.04,10,,,24898,6,,,6.88,3,,,,,361730,7,194.26,5,4.58,6,10.53,3,7.33,6,60.4,6,543.27,5,4.3,7,4.74,7,,,39.58,5,3.82,7,7.01,6,2.07,7,2.14,7,19179,6,20558,6,,,,,,,,,,,,,,,,,,
"11680","2002",서울특별시 강남구,,,-1.26,10,,,,,,,17.12,3,,,31.8,3,-1.02,10,,,27658,6,,,6.58,3,,,,,420507,7,959.6,7,10.48,7,12.12,4,10.28,6,87.7,7,2471.4,7,6.23,7,3.28,7,,,213.2,7,1.27,5,1.1,1,-0.33,1,-3.4,10,119502,7,48989,7,,,,,,,,,,,,,,,,,,
"26260","2002",부산광역시 동래구,,,-1.85,10,,,,,,,15.7,2,,,38.35,4,-1.68,10,,,18754,6,,,8.42,4,,,,,222746,6,254.87,5,3.65,5,10.09,3,5.64,5,48.5,6,420.56,5,0.84,5,0.75,5,,,62.45,6,-0.27,1,4.09,5,0.95,7,-3.57,10,18134,6,20273,6,,,,,,,,,,,,,,,,,,
"26350","2002",부산광역시 해운대구,,,-1.77,10,,,,,,,24.59,4,,,30.49,3,-1.45,10,,,25125,6,,,8.54,4,,,,,294141,6,180.04,4,4.21,5,13.92,4,7.25,6,46.2,6,485.41,5,0.61,4,0.9,5,,,40.31,5,8.07,7,8.48,6,9.08,7,2.62,7,16190,5,17172,6,,,,,,,,,,,,,,,,,,
"28200","2002",인천광역시 남동구,,,-1.62,10,,,,,,,19.39,3,,,23.9,2,-0.99,10,,,21219,6,,,7.23,3,,,,,293558,6,415.75,6,6.79,6,50.12,7,5.21,5,36.5,6,505.9,5,0,1,1.01,5,,,51.62,5,4.82,7,8.14,6,6.22,7,7.22,7,84086,7,24707,6,,,,,,,,,,,,,,,,,,
"28720","2002",인천광역시 옹진군,,,0.76,10,,,,,,,42.71,6,,,123.79,6,0.5,10,,,2742,1,,,29.92,6,,,,,9163,1,206.94,5,2.61,4,2.33,1,2.67,3,23.2,5,608.47,6,,,0,1,,,25.71,3,8.54,7,19.17,7,-4.21,10,-35,10,1138,1,1119,1,,,,,,,,,,,,,,,,,,
"29140","2002",광주광역시 서구,,,2.77,8,,,,,,,30.89,5,,,22.68,2,3.72,8,,,17197,6,,,7.85,3,,,,,219169,6,233.54,5,4.64,6,11.42,4,7.19,6,35.1,6,449.98,5,0.12,1,0.67,4,,,54.73,6,8.75,7,11.86,7,6.23,7,-11.53,10,17088,5,15702,6,,,,,,,,,,,,,,,,,,
"30170","2002",대전광역시 서구,,,1.52,9,,,,,,,16.12,2,,,22.28,1,2.24,8,,,25218,6,,,7.05,3,,,,,357833,7,230.86,5,4.92,6,4.22,1,9.24,6,40.1,6,501.66,5,1.01,5,1.9,6,,,45.68,5,8.76,7,14.84,7,5.42,7,6.44,7,22666,6,23267,6,,,,,,,,,,,,,,,,,,
"31710","2002",울산광역시 울주군,,,-0.07,10,,,,,,,,0,,,33.01,3,0.62,10,,,13500,5,,,11.55,5,,,,,116920,5,328.42,6,6.94,6,58.22,7,1.99,2,54.4,6,629.78,6,0.85,5,0.77,5,,,25.76,3,6.87,7,9.3,7,6.47,7,4.26,7,32758,6,8108,4,,,,,,,,,,,,,,,,,,
"41110","2002",경기도 수원시,,,3.54,8,,,,,,,11.8,1,,,18.83,1,4.6,8,,,47199,7,,,6.54,3,,,,,721845,7,267.76,5,5.38,6,19.91,5,7.42,6,68.9,7,725.43,6,2.19,6,1.33,6,,,45.5,5,4.19,7,10.5,7,0.52,6,-1.82,10,54366,7,50765,7,,,,,,,,,,,,,,,,,,
"41270","2002",경기도 안산시,,,5.18,8,,,,,,,24.45,4,,,16.66,1,6.48,8,,,27226,6,,,6.21,2,,,,,438183,7,358.08,6,6.74,6,46.96,7,4.63,5,63.3,7,732.55,6,14.85,7,15.16,7,,,41.95,5,8.59,7,9.84,7,7.23,7,-0.97,10,105755,7,33426,7,,,,,,,,,,,,,,,,,,
