,시군구명,물리환경,과거대비인구변화,최근인구변화,과거대비사업체변화,최근사업체변화,노후건축물비율,시군구코드,20세미만인구성장률,재정자립도,경제활동인구대비종사자수,특허출원건수,1인당주민세,1인당공원면적,도로밀도,1만인당공무원수,주민등록인구전출입률,폐기물재활용률,1만인당사회복지시설수,1만인당문화체육시설수,1만인당축제건수,cluster
50,인천광역시 남동구,1,11.3,1,3.108,0.0,59.605,28200,-4.5,31.05,0.53,1290.0,33.84,13.4,8.23,15.25,-1.02,72.33,12.51,16.84,0.02,0
51,인천광역시 부평구,1,-2.164,5,-0.208,1.0,73.102,28237,-6.48,23.13,0.34,764.0,25.97,5.26,14.01,18.32,-2.62,91.5,6.42,11.2,0.02,1
52,인천광역시 계양구,1,-3.908,5,0.17,0.0,60.65,28245,-8.29,24.04,0.29,280.0,14.65,3.05,5.5,23.56,-3.06,88.91,8.5,14.75,0.03,0
53,인천광역시 강화군,0,-26.112,0,3.599,1.0,46.895,28710,-1.36,19.18,0.36,59.0,12.89,0.74,0.19,86.87,1.06,92.43,52.81,31.09,0.94,0
54,광주광역시 동구,1,-53.881,4,-7.371,1.0,74.845,29110,3.0,20.02,0.83,247.0,49.21,3.31,2.25,53.67,4.57,95.14,16.01,31.23,0.1,1
55,광주광역시 서구,1,-3.299,3,2.093,0.0,55.236,29140,-6.37,22.52,0.6,475.0,36.97,16.55,4.45,23.61,-1.1,80.63,10.59,17.76,0.03,0
56,광주광역시 남구,1,-21.787,3,4.082,0.0,74.343,29155,-1.51,13.13,0.35,160.0,14.06,9.06,3.22,28.87,0.85,85.27,15.38,20.57,0.09,1
57,광주광역시 북구,1,-5.247,3,1.098,1.0,65.8,29170,-4.41,16.51,0.42,1618.0,23.19,18.5,3.25,19.53,-1.49,90.67,11.39,17.97,0.0733333333333333,1
58,대전광역시 동구,1,-18.552,4,0.085,1.0,75.904,30110,-3.82,11.49,0.34,334.0,21.51,2.4,1.9,26.52,-0.77,74.57,10.36,10.31,0.1225,1
59,대전광역시 중구,1,-19.9,5,0.405,1.0,78.286,30140,-5.56,14.47,0.47,274.0,27.45,1.99,3.54,24.94,-1.44,78.29,9.15,16.44,0.09,1
